num,longitude,latitude,temperature,date
0,175.403376,-9.4618635,-28,2010-12-06 04:54:35
1,-3.594819,-36.5669055,-25,2006-01-14 19:03:55
2,-2.532762,-39.268929,25,2009-12-17 04:09:34
3,-148.282310,-6.1758995,-22,1980-08-21 12:19:19
4,-39.451481,16.389112,-12,1990-12-05 10:52:09
5,-164.940245,21.581487,28,1971-04-26 12:28:02
6,168.490591,-76.349998,-30,1998-03-29 15:19:18
7,85.909902,79.1708695,-25,2016-04-11 05:43:43
8,-147.318240,-74.0887755,-18,1994-02-18 09:01:01
9,-53.842351,55.695498,26,2000-09-11 02:47:31
